timestamp,mocap_x(ned),mocap_y(ned),mocap_z(ned),mocap_vx(ned),mocap_vy(ned),mocap_vz(ned),mocap_ax(ned),mocap_ay(ned),mocap_az(ned),mocap_q_w,mocap_q_x,mocap_q_y,mocap_q_z,pos_d_x,pos_d_y,pos_d_z,vel_d_x,vel_d_y,vel_d_z,acc_d_x,acc_d_y,acc_d_z,int_x,int_y,int_z,ref_mask
1259250004512,-0.0420406,0.0613133,0.0290452,-0.0101255,0.0596179,0.0166978,0.118231,1.36592,0.0414886,0.992779,0.114554,0.0295172,-0.0199868,-0.0211758,0.00061588,0.209705,0.0312972,-0.0910462,0.361319,0,0,0,0.0114318,-0.0200771,0.181875,1
1259270012992,-0.0421294,0.0622069,0.029289,-0.0016938,0.0593075,0.0157455,1.00396,-1.40723,-0.168231,0.992883,0.113599,0.0293872,-0.0205074,-0.0211758,0.00061588,0.209705,0.0314305,-0.0923865,0.360832,0,0,0,0.0116303,-0.0207992,0.185178,1
1259289993280,-0.0431516,0.0611836,0.0274518,-0.0170629,0.0731086,0.00861385,0.676942,-0.924014,-0.310542,0.99311,0.111489,0.0299915,-0.0201947,-0.0211758,0.00061588,0.209705,0.0329637,-0.0908516,0.364506,0,0,0,0.0117299,-0.0212551,0.187252,1
1259309997760,-0.0435156,0.0629401,0.0275699,-0.0149099,0.0758187,0.00299736,0.121398,-0.0250591,0.282455,0.993141,0.11108,0.0306945,-0.0198625,-0.0211758,0.00061588,0.209705,0.0335097,-0.0934863,0.36427,0,0,0,0.0119698,-0.0220413,0.190666,1
1259330013568,-0.0436611,0.0638502,0.0276261,-0.0090882,0.0742509,0.00626598,0.838523,-0.233442,0.256493,0.993115,0.111175,0.0310421,-0.0201067,-0.0211758,0.00061588,0.209705,0.0337281,-0.0948515,0.364158,0,0,0,0.0122024,-0.0228548,0.194137,1
1259350005440,-0.0438944,0.0656912,0.0276409,-0.0119648,0.0647762,-0.0029745,-0.262183,0.227746,0.918512,0.993078,0.111397,0.0315277,-0.0199389,-0.0211758,0.00061588,0.209705,0.0340779,-0.0976129,0.364128,0,0,0,0.0123063,-0.023265,0.195874,1
1259370002688,-0.045007,0.0672309,0.0285783,-0.00993852,0.0619459,0.0136703,2.19461,-1.76407,1.10247,0.993129,0.110933,0.0314939,-0.0199819,-0.0211758,0.00061588,0.209705,0.0357469,-0.0999225,0.362253,0,0,0,0.0125529,-0.0241347,0.199806,1
1259390004384,-0.0450994,0.0680132,0.028757,-0.00538298,0.067811,0.0159675,-1.43905,2.73682,-0.721478,0.993139,0.110794,0.0315911,-0.0200749,-0.0211758,0.00061588,0.209705,0.0358854,-0.101096,0.361896,0,0,0,0.0127727,-0.0249134,0.20316,1
1259409996768,-0.0453367,0.0702423,0.029243,-0.00658816,0.0985424,0.0244274,0.824457,-1.22024,-0.258907,0.993071,0.111218,0.031611,-0.0210785,-0.0211758,0.00061588,0.209705,0.0362413,-0.10444,0.360924,0,0,0,0.0128722,-0.0253207,0.204828,1
1259430010464,-0.0448116,0.0694832,0.0290681,-0.00520936,0.0847666,0.0139824,-0.44623,0.460167,-0.525104,0.992954,0.11199,0.0321492,-0.0216151,-0.0211758,0.00061588,0.209705,0.0354537,-0.103301,0.361273,0,0,0,0.0130859,-0.0263337,0.208187,1
1259449993760,-0.0448571,0.0712402,0.0296132,0.00475326,0.0591879,0.0314165,0.66082,-0.249603,-0.499659,0.99295,0.111781,0.0327375,-0.0220371,-0.0211758,0.00061588,0.209705,0.0355219,-0.105936,0.360183,0,0,0,0.0131995,-0.026859,0.210127,1
1259470027040,-0.0445223,0.072425,0.0304388,0.0210553,0.0346741,0.0357767,0.345221,-0.56031,-0.140582,0.992966,0.111582,0.0328237,-0.0221634,-0.0211758,0.00061588,0.209705,0.0350198,-0.107714,0.358532,0,0,0,0.0133475,-0.0276534,0.21329,1
1259490017632,-0.0432361,0.070321,0.0300022,0.0333942,0.00666478,0.0302755,0.837435,-0.800439,0.622976,0.992923,0.11195,0.0329841,-0.0220122,-0.0211758,0.00061588,0.209705,0.0330905,-0.104558,0.359405,0,0,0,0.0134173,-0.0283649,0.216516,1
1259510000992,-0.0420391,0.0702533,0.0308504,0.0536096,-0.00905916,0.0314916,0.16477,-0.00129099,0.180571,0.992802,0.112851,0.0332322,-0.0224935,-0.0211758,0.00061588,0.209705,0.031295,-0.104456,0.357709,0,0,0,0.0134166,-0.0286356,0.218118,1
1259530036608,-0.0413436,0.0701689,0.0312284,0.0631719,-0.00511175,0.0319712,1.44079,0.664082,-0.100049,0.992744,0.113219,0.0333522,-0.0230482,-0.0211758,0.00061588,0.209705,0.0302517,-0.10433,0.356953,0,0,0,0.0132968,-0.0291475,0.221619,1
1259550006848,-0.0397344,0.0700033,0.0319735,0.0659126,-0.0102297,0.0335325,-0.00582982,0.132732,1.13082,0.992654,0.113849,0.0338102,-0.023119,-0.0211758,0.00061588,0.209705,0.027838,-0.104081,0.355463,0,0,0,0.0132184,-0.0293838,0.223167,1
1259569997664,-0.0379835,0.0701335,0.0320663,0.0821331,-0.00618148,0.0112152,0.799257,0.192716,-0.215232,0.992544,0.114613,0.034014,-0.0237975,-0.0211758,0.00061588,0.00970488,0.0252116,-0.104276,-0.0447228,0,0,0,0.0130347,-0.0298365,0.226273,1
1259590005376,-0.0367403,0.0699119,0.0322137,0.0878425,-0.0241144,0.00893514,-0.0186527,-2.64457,-0.0965067,0.992484,0.115061,0.0345402,-0.0233759,-0.0211758,0.00061588,0.00970488,0.0233468,-0.103944,-0.0450176,0,0,0,0.0127556,-0.0303175,0.225724,1
1259610000768,-0.0346686,0.0690563,0.0325188,0.098232,-0.0456014,0.0189201,0.202243,-0.166185,0.0970129,0.992431,0.115172,0.0356463,-0.0234514,-0.0211758,0.00061588,0.00970488,0.0202392,-0.102661,-0.0456279,0,0,0,0.0125669,-0.0305511,0.225408,1
1259630009248,-0.0362233,0.0714078,0.0316631,0.0912244,-0.046427,0.0122823,0.472406,-0.734985,-0.434208,0.992304,0.11614,0.0360681,-0.0233724,-0.0211758,0.00061588,-0.0302951,0.0225714,-0.106188,-0.123917,0,0,0,0.0122185,-0.030806,0.224832,1
